epoch,step,train/brier_fde,train/minADE6,train/minFDE6,train/miss_rate,train/nuscenes/brier_fde,train/nuscenes/minADE6,train/nuscenes/minFDE6,train/nuscenes/miss_rate,val/brier_fde,val/minADE6,val/minFDE6,val/miss_rate,val/nuscenes/brier_fde,val/nuscenes/minADE6,val/nuscenes/minFDE6,val/nuscenes/miss_rate
0,0,,,,,,,,,15.261898040771484,7.815016746520996,14.428430557250977,1.0,15.261898040771484,7.815016746520996,14.428430557250977,1.0
0,0,16.975847244262695,9.972434997558594,16.143136978149414,1.0,16.975847244262695,9.972434997558594,16.143136978149414,1.0,,,,,,,,
1,1,,,,,,,,,13.75325870513916,6.9148077964782715,12.919731140136719,0.8032786846160889,13.75325870513916,6.9148077964782715,12.919731140136719,0.8032786846160889
1,1,14.823287010192871,7.833223342895508,13.990424156188965,0.9508196711540222,14.823287010192871,7.833223342895508,13.990424156188965,0.9508196711540222,,,,,,,,
2,2,,,,,,,,,13.0153169631958,6.545140266418457,12.181819915771484,0.7868852615356445,13.0153169631958,6.545140266418457,12.181819915771484,0.7868852615356445
2,2,13.496223449707031,6.912386894226074,12.664555549621582,0.7868852615356445,13.496223449707031,6.912386894226074,12.664555549621582,0.7868852615356445,,,,,,,,
3,3,,,,,,,,,12.64743423461914,6.4145917892456055,11.814003944396973,0.7704917788505554,12.64743423461914,6.4145917892456055,11.814003944396973,0.7704917788505554
3,3,12.761085510253906,6.549809455871582,11.92557430267334,0.7704917788505554,12.761085510253906,6.549809455871582,11.92557430267334,0.7704917788505554,,,,,,,,
4,4,,,,,,,,,12.499858856201172,6.228911876678467,11.666341781616211,0.7704917788505554,12.499858856201172,6.228911876678467,11.666341781616211,0.7704917788505554
4,4,12.431106567382812,6.410346508026123,11.597810745239258,0.7377049326896667,12.431106567382812,6.410346508026123,11.597810745239258,0.7377049326896667,,,,,,,,
5,5,,,,,,,,,12.4367036819458,6.162223815917969,11.603012084960938,0.7540983557701111,12.4367036819458,6.162223815917969,11.603012084960938,0.7540983557701111
5,5,12.283502578735352,6.228683948516846,11.450984954833984,0.7213114500045776,12.283502578735352,6.228683948516846,11.450984954833984,0.7213114500045776,,,,,,,,
6,6,,,,,,,,,12.188392639160156,6.041642189025879,11.35461711883545,0.7377049326896667,12.188392639160156,6.041642189025879,11.35461711883545,0.7377049326896667
6,6,12.181159019470215,6.156303882598877,11.349640846252441,0.7049180269241333,12.181159019470215,6.156303882598877,11.349640846252441,0.7049180269241333,,,,,,,,
7,7,,,,,,,,,12.011396408081055,5.915877819061279,11.177776336669922,0.7049180269241333,12.011396408081055,5.915877819061279,11.177776336669922,0.7049180269241333
7,7,11.994668006896973,6.0288920402526855,11.161364555358887,0.7213114500045776,11.994668006896973,6.0288920402526855,11.161364555358887,0.7213114500045776,,,,,,,,
8,8,,,,,,,,,11.920900344848633,5.852553367614746,11.087251663208008,0.688524603843689,11.920900344848633,5.852553367614746,11.087251663208008,0.688524603843689
8,8,11.77259635925293,5.912014007568359,10.940238952636719,0.6721311211585999,11.77259635925293,5.912014007568359,10.940238952636719,0.6721311211585999,,,,,,,,
9,9,,,,,,,,,11.760727882385254,5.733717918395996,10.927047729492188,0.7049180269241333,11.760727882385254,5.733717918395996,10.927047729492188,0.7049180269241333
9,9,11.688314437866211,5.831966876983643,10.856754302978516,0.688524603843689,11.688314437866211,5.831966876983643,10.856754302978516,0.688524603843689,,,,,,,,
10,10,,,,,,,,,11.692978858947754,5.67646598815918,10.859406471252441,0.7213114500045776,11.692978858947754,5.67646598815918,10.859406471252441,0.7213114500045776
10,10,11.527665138244629,5.719070911407471,10.695966720581055,0.6721311211585999,11.527665138244629,5.719070911407471,10.695966720581055,0.6721311211585999,,,,,,,,
11,11,,,,,,,,,11.615116119384766,5.609689712524414,10.781644821166992,0.7049180269241333,11.615116119384766,5.609689712524414,10.781644821166992,0.7049180269241333
11,11,11.417492866516113,5.661025524139404,10.584517478942871,0.6721311211585999,11.417492866516113,5.661025524139404,10.584517478942871,0.6721311211585999,,,,,,,,
12,12,,,,,,,,,11.50570011138916,5.517141342163086,10.67230224609375,0.7049180269241333,11.50570011138916,5.517141342163086,10.67230224609375,0.7049180269241333
12,12,11.351478576660156,5.601660251617432,10.517388343811035,0.688524603843689,11.351478576660156,5.601660251617432,10.517388343811035,0.688524603843689,,,,,,,,
13,13,,,,,,,,,11.429839134216309,5.437906265258789,10.59641170501709,0.7049180269241333,11.429839134216309,5.437906265258789,10.59641170501709,0.7049180269241333
13,13,11.25463581085205,5.511481285095215,10.422533988952637,0.688524603843689,11.25463581085205,5.511481285095215,10.422533988952637,0.688524603843689,,,,,,,,
14,14,,,,,,,,,11.381842613220215,5.371359825134277,10.548418045043945,0.7377049326896667,11.381842613220215,5.371359825134277,10.548418045043945,0.7377049326896667
14,14,11.175110816955566,5.439717769622803,10.340780258178711,0.688524603843689,11.175110816955566,5.439717769622803,10.340780258178711,0.688524603843689,,,,,,,,
15,15,,,,,,,,,11.351563453674316,5.317018032073975,10.518145561218262,0.7704917788505554,11.351563453674316,5.317018032073975,10.518145561218262,0.7704917788505554
15,15,11.148042678833008,5.371407985687256,10.316193580627441,0.688524603843689,11.148042678833008,5.371407985687256,10.316193580627441,0.688524603843689,,,,,,,,
16,16,,,,,,,,,11.317764282226562,5.281482696533203,10.484301567077637,0.7540983557701111,11.317764282226562,5.281482696533203,10.484301567077637,0.7540983557701111
